Verification,Agent,Type,Price,Location,Bedroom,Bathroom,Area
VERIFIED,SUPERAGENT,Villa,"5,200,000 AED","Springs 12, The Springs, Dubai",3,3,"2,258 sqft"
VERIFIED,N/A,Villa,"15,500,000 AED","Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai",4,4,"4,926 sqft"
VERIFIED,SUPERAGENT,Townhouse,"1,629,999 AED","Camelia, Damac Hills 2, Dubai",3,3,"1,534 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,450,000 AED","Safi II, Safi, Town Square, Dubai",2,2,"1,565 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,200,000 AED","Bliss, Arabian Ranches 3, Dubai",3,4,"1,373 sqft"
VERIFIED,SUPERAGENT,Villa,"29,999,950 AED","Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai",5,6,"6,200 sqft"
VERIFIED,SUPERAGENT,Villa,"24,999,950 AED","Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai",4,5,"5,300 sqft"
VERIFIED,SUPERAGENT,Villa,"8,200,000 AED","Meadows 9, Meadows, Dubai",4,5,"6,497 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,650,000 AED","Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai",3,3,"1,940 sqft"
VERIFIED,SUPERAGENT,Villa,"5,600,000 AED","Maple 2, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,3,"2,986 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,620,000 AED","Mosela Waterside Residences, Mosela, The Views, Dubai",2,2,"1,439 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,300,000 AED","Sanibel Tower, Park Island, Dubai Marina, Dubai",1,2,922 sqft
VERIFIED,SUPERAGENT,Townhouse,"3,350,000 AED","Ruba, Arabian Ranches 3, Dubai",3,4,"2,085 sqft"
VERIFIED,SUPERAGENT,Villa,"9,950,000 AED","Rosa, Arabian Ranches 2, Dubai",4,3,"4,814 sqft"
N/A,SUPERAGENT,Apartment,"1,600,000 AED","Bay Residences, Hayat Island, Mina Al Arab, Ras Al Khaimah",1,1,796 sqft
VERIFIED,SUPERAGENT,Apartment,"1,799,999 AED","Nobles Tower, Business Bay, Dubai",1,2,829 sqft
N/A,SUPERAGENT,Apartment,"1,600,000 AED","Bay Residences, Hayat Island, Mina Al Arab, Ras Al Khaimah",1,1,882 sqft
VERIFIED,SUPERAGENT,Penthouse,"25,000,000 AED","Laurel, Central Park at City Walk, City Walk, Dubai",5,6,"6,331 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,480,000 AED","Murjan 2, Murjan, Jumeirah Beach Residence, Dubai",studio,1,720 sqft
VERIFIED,SUPERAGENT,Apartment,"1,450,000 AED","Azizi Park Avenue, Meydan, Dubai",2,2,897 sqft
VERIFIED,SUPERAGENT,Apartment,"4,270,000 AED","Golf Tower 1, Golf Towers, The Views, Dubai",3,4,"1,974 sqft"
VERIFIED,SUPERAGENT,Villa,"92,000,000 AED","Umm Suqeim 3 Villas, Umm Suqeim 3, Umm Suqeim, Dubai",7+,7+,"57,856 sqft"
VERIFIED,SUPERAGENT,Villa,"35,000,000 AED","Garden Homes Frond O, Garden Homes, Palm Jumeirah, Dubai",4,5,"6,693 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,600,000 AED","Palace Residences, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,188 sqft"
VERIFIED,SUPERAGENT,Apartment,"6,200,000 AED","Five Luxe JBR, Jumeirah Beach Residence, Dubai",1,2,"1,236 sqft"
VERIFIED,N/A,Villa,"7,950,000 AED","Legacy, Jumeirah Park, Dubai",4,5,"6,078 sqft"
VERIFIED,N/A,Villa,"10,250,000 AED","Legacy, Jumeirah Park, Dubai",4,5,"4,335 sqft"
VERIFIED,SUPERAGENT,Villa,"15,000,000 AED","Meadows 2, Meadows, Dubai",5,6,"3,805 sqft"
VERIFIED,SUPERAGENT,Villa,"8,700,000 AED","Meadows 1, Meadows, Dubai",5,6,"4,018 sqft"
VERIFIED,N/A,Townhouse,"6,000,000 AED","Murooj Al Furjan, Al Furjan, Dubai",4,4,"3,013 sqft"
VERIFIED,N/A,Townhouse,"4,500,000 AED","Quortaj, North Village, Al Furjan, Dubai",3,3,"3,049 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,250,000 AED","Golf Panorama A, Golf Panorama, DAMAC Hills, Dubai",2,3,"1,622 sqft"
VERIFIED,SUPERAGENT,Villa,"19,000,000 AED","Palm Hills, Dubai Hills Estate, Dubai",5,6,"9,187 sqft"
VERIFIED,SUPERAGENT,Villa,"1,850,000 AED","Aurum Villas, Zinnia, Damac Hills 2, Dubai",3,3,"1,881 sqft"
N/A,SUPERAGENT,Apartment,"700,000 AED","Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah",studio,1,450 sqft
VERIFIED,SUPERAGENT,Apartment,"5,000,000 AED","Azure Residences, Palm Jumeirah, Dubai",2,3,"2,015 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,800,000 AED","Al Tamr, Shoreline Apartments, Palm Jumeirah, Dubai",3,4,"2,159 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,900,000 AED","Elvira, Park Heights, Dubai Hills Estate, Dubai",1,1,693 sqft
VERIFIED,SUPERAGENT,Villa,"6,499,997 AED","The Field, DAMAC Hills, Dubai",4,6,"4,650 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,450,000 AED","Ocean Heights, Dubai Marina, Dubai",2,3,"1,493 sqft"
VERIFIED,SUPERAGENT,Villa,"7,800,000 AED","Arabian Villas, Jumeirah Village Triangle, Dubai",5,5,"4,050 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,100,000 AED","Bayview, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,744 sqft
VERIFIED,SUPERAGENT,Apartment,"5,500,000 AED","Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai",3,3,"2,180 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,250,000 AED","East 40, Al Furjan, Dubai",2,2,969 sqft
VERIFIED,SUPERAGENT,Villa,"9,900,000 AED","Savannah 1, Savannah, Arabian Ranches, Dubai",3,3,"3,687 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,950,000 AED","No.9, Dubai Marina, Dubai",1,2,640 sqft
VERIFIED,SUPERAGENT,Apartment,"6,100,000 AED","Grand Bleu Tower 2, EMAAR Beachfront, Dubai Harbour, Dubai",2,3,"1,558 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,670,000 AED","Residences 5, District One, Mohammed Bin Rashid City, Dubai",1,2,750 sqft
VERIFIED,SUPERAGENT,Townhouse,"4,600,000 AED","Aura, Tilal Al Ghaf, Dubai",4,4,"2,470 sqft"
VERIFIED,SUPERAGENT,Villa,"11,000,000 AED","Nad Al Sheba Gardens - Phase 2, Nad Al Sheba 1, Nad Al Sheba, Dubai",4,5,"7,195 sqft"
VERIFIED,SUPERAGENT,Apartment,"18,000,000 AED","Six Senses Residences, Palm Jumeirah, Dubai",2,3,"2,024 sqft"
VERIFIED,SUPERAGENT,Apartment,"890,000 AED","The East Crest by Meteora, Jumeirah Village Circle, Dubai",1,2,723 sqft
VERIFIED,SUPERAGENT,Apartment,"3,680,000 AED","Cayan Tower, Dubai Marina, Dubai",2,3,"1,713 sqft"
VERIFIED,SUPERAGENT,Villa,"7,800,000 AED","Legacy Nova Villas, Jumeirah Park, Dubai",4,5,"6,038 sqft"
VERIFIED,SUPERAGENT,Villa,"15,500,000 AED","Jumeirah Park Homes, Jumeirah Park, Dubai",5,6,"7,200 sqft"
VERIFIED,N/A,Villa,"22,000,000 AED","District One Villas, District One, Mohammed Bin Rashid City, Dubai",5,6,"9,234 sqft"
VERIFIED,N/A,Villa,"21,500,000 AED","District One Villas, District One, Mohammed Bin Rashid City, Dubai",5,6,"8,660 sqft"
N/A,SUPERAGENT,Apartment,"2,215,484 AED","Island Park 1, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,074 sqft"
VERIFIED,SUPERAGENT,Villa,"6,250,000 AED","Rahat, Mudon, Dubai",3,5,"6,938 sqft"
VERIFIED,SUPERAGENT,Apartment,"16,500,000 AED","The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",4,5,"2,454 sqft"
N/A,SUPERAGENT,Land,"4,999,999 AED","Jumeirah Park Homes, Jumeirah Park, Dubai",N/A,1,"4,940 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,000,000 AED","Central Park Building 1, Central Park at City Walk, City Walk, Dubai",2,2,"1,832 sqft"
VERIFIED,SUPERAGENT,Villa,"6,400,000 AED","Legacy, Jumeirah Park, Dubai",3,4,"3,060 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,599,999 AED","Creekside 18 A, Creekside 18, Dubai Creek Harbour (The Lagoons), Dubai",1,1,674 sqft
VERIFIED,SUPERAGENT,Apartment,"2,399,999 AED","Creekside 18 B, Creekside 18, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,123 sqft"
N/A,SUPERAGENT,Hotel & Hotel Apartment,"675,000 AED","FIVE at Jumeirah Village Circle, Jumeirah Village Circle, Dubai",studio,1,483 sqft
VERIFIED,SUPERAGENT,Apartment,"2,150,000 AED","Jadeel, Madinat Jumeirah Living, Umm Suqeim, Dubai",1,1,762 sqft
VERIFIED,SUPERAGENT,Apartment,"4,499,888 AED","Rahaal 1, Madinat Jumeirah Living, Umm Suqeim, Dubai",2,2,"1,619 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,100,000 AED","The Sustainable City - Yas Island, Yas Island, Abu Dhabi",1,2,812 sqft
VERIFIED,SUPERAGENT,Apartment,"3,350,000 AED","The Lofts East, The Lofts, Downtown Dubai, Dubai",2,3,"1,241 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,900,000 AED","Santorini, Damac Lagoons, Dubai",4,3,"1,550 sqft"
VERIFIED,SUPERAGENT,Villa,"17,999,999 AED","Alaya, Tilal Al Ghaf, Dubai",5,7+,"10,899 sqft"
VERIFIED,SUPERAGENT,Villa,"2,275,000 AED","Parkside 3, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,"1,989 sqft"
VERIFIED,SUPERAGENT,Villa,"5,000,000 AED","Azalea, Arabian Ranches 2, Dubai",3,3,"3,052 sqft"
VERIFIED,SUPERAGENT,Villa,"9,500,000 AED","West Village, Al Furjan, Dubai",4,3,"6,511 sqft"
VERIFIED,N/A,Townhouse,"8,500,000 AED","The Cove II Building 10, The Cove ll, Dubai Creek Harbour (The Lagoons), Dubai",3,3,"2,469 sqft"
VERIFIED,N/A,Apartment,"3,700,000 AED","Creek Horizon Tower 1, Creek Horizon, Dubai Creek Harbour (The Lagoons), Dubai",3,3,"1,684 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,950,000 AED","Lillia, The Valley, Dubai",4,5,"2,512 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,200,000 AED","Asayel 3, Madinat Jumeirah Living, Umm Suqeim, Dubai",2,2,"1,087 sqft"
VERIFIED,SUPERAGENT,Apartment,"650,000 AED","AZIZI Riviera, Meydan One, Meydan, Dubai",studio,1,320 sqft
VERIFIED,SUPERAGENT,Apartment,"700,000 AED","AZIZI Riviera, Meydan One, Meydan, Dubai",studio,1,374 sqft
VERIFIED,SUPERAGENT,Apartment,"650,000 AED","AZIZI Riviera, Meydan One, Meydan, Dubai",studio,1,297 sqft
VERIFIED,SUPERAGENT,Apartment,"850,000 AED","AZIZI Riviera, Meydan One, Meydan, Dubai",studio,1,387 sqft
VERIFIED,SUPERAGENT,Villa,"30,000,000 AED","The Mansions, Jumeirah Islands, Dubai",5,6,"13,929 sqft"
VERIFIED,SUPERAGENT,Villa,"32,000,000 AED","Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",5,6,"10,493 sqft"
VERIFIED,SUPERAGENT,Villa,"15,000,000 AED","Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai",4,5,"5,300 sqft"
VERIFIED,SUPERAGENT,Villa,Ask for price,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai",4,5,"5,400 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,100,000 AED","Stadium Point, Dubai Sports City, Dubai",2,3,"1,368 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,250,000 AED","Moon Tower, Business Bay, Dubai",1,2,787 sqft
VERIFIED,SUPERAGENT,Apartment,"750,000 AED","Elite Sports Residence 6, Elite Sports Residence, Dubai Sports City, Dubai",1,2,843 sqft
VERIFIED,SUPERAGENT,Apartment,"750,000 AED","Eden Garden, Dubai Sports City, Dubai",1,1,792 sqft
VERIFIED,SUPERAGENT,Villa,"42,000,000 AED","The Collection, Al Barari, Dubai",4,4,"12,052 sqft"
VERIFIED,SUPERAGENT,Villa,"15,500,000 AED","Flora, DAMAC Hills, Dubai",5,6,"5,500 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,650,000 AED","Island Park II, Dubai Creek Harbour (The Lagoons), Dubai",1,1,727 sqft
VERIFIED,SUPERAGENT,Villa,"8,100,000 AED","Club Villas at Dubai Hills, Dubai Hills Estate, Dubai",3,4,"2,930 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,750,000 AED","Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",3,4,"1,701 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,350,000 AED","Al Andalus Tower A, Al Andalus, Jumeirah Golf Estates, Dubai",2,3,"1,453 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,580,000 AED","Mira Oasis 1, Mira Oasis, Reem, Dubai",3,4,"2,373 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,700,000 AED","Sadaf 8, Sadaf, Jumeirah Beach Residence, Dubai",3,4,"1,907 sqft"
VERIFIED,SUPERAGENT,Villa,"22,500,000 AED","Meadows 4, Meadows, Dubai",5,6,"5,830 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,475,000 AED","Elite Residence, Dubai Marina, Dubai",1,2,801 sqft
VERIFIED,SUPERAGENT,Apartment,"1,260,000 AED","Bayz101 by Danube, Business Bay, Dubai",studio,1,373 sqft
VERIFIED,SUPERAGENT,Apartment,"2,900,000 AED","Golf Tower 3, Golf Towers, The Views, Dubai",2,2,"1,318 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,350,000 AED","Seagate Building 3, Seagate, Mina Rashid, Dubai",2,2,"1,086 sqft"
VERIFIED,SUPERAGENT,Villa,"8,200,000 AED","Saadiyat Lagoons, Saadiyat Island, Abu Dhabi",4,7,"5,001 sqft"
N/A,SUPERAGENT,Villa,"1,650,000 AED","Al Bahia Hills, Al Bahia, Ajman",6,7+,"3,014 sqft"
VERIFIED,SUPERAGENT,Villa,"77,000,000 AED","The Fairway, Dubai Hills, Dubai Hills Estate, Dubai",5,7,"15,335 sqft"
VERIFIED,SUPERAGENT,Villa,"6,200,000 AED","Green Community West, Green Community, Dubai Investment Park (DIP), Dubai",4,5,"4,347 sqft"
VERIFIED,SUPERAGENT,Villa,"4,500,000 AED","Springs 10, The Springs, Dubai",3,4,"1,794 sqft"
N/A,SUPERAGENT,Villa,"9,539,000 AED","Saro, Masaar, Tilal City, Sharjah",6,7+,"9,890 sqft"
N/A,SUPERAGENT,Apartment,"1,649,000 AED","Raseel, Al Mamsha, Muwaileh, Sharjah",3,5,"1,778 sqft"
VERIFIED,SUPERAGENT,Villa,"12,500,000 AED","Jebel Ali Village Villas, Jebel Ali Village, Jebel Ali, Dubai",5,6,"8,017 sqft"
VERIFIED,SUPERAGENT,Villa,"70,000,000 AED","Garden Homes Frond L, Garden Homes, Palm Jumeirah, Dubai",5,7,"8,100 sqft"
N/A,SUPERAGENT,Land,"950,000 AED","Tilal City C, Tilal City, Sharjah",N/A,N/A,"4,133 sqft"
N/A,SUPERAGENT,Land,"1,050,000 AED","Tilal City D, Tilal City, Sharjah",N/A,N/A,"4,520 sqft"
N/A,SUPERAGENT,Land,"710,000 AED","Tilal City D, Tilal City, Sharjah",N/A,N/A,"2,481 sqft"
VERIFIED,SUPERAGENT,Villa,"7,500,000 AED","Nad Al Dhabi, Al Jubail Island, Abu Dhabi",4,6,"7,770 sqft"
VERIFIED,SUPERAGENT,Villa,"17,999,999 AED","Palm Hills, Dubai Hills Estate, Dubai",5,7,"7,104 sqft"
VERIFIED,SUPERAGENT,Villa,"6,999,999 AED","Rockwood, DAMAC Hills, Dubai",5,7,"4,843 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,175,000 AED","Grand Bleu Tower 2, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,794 sqft
VERIFIED,SUPERAGENT,Apartment,"10,700,000 AED","Building 22, City Walk, Dubai",3,5,"2,844 sqft"
N/A,SUPERAGENT,Villa,"66,425,450 AED","Siniyah Island, Umm Al Quwain Marina, Umm Al Quwain",7,7+,"25,548 sqft"
VERIFIED,SUPERAGENT,Villa,"12,500,000 AED","Esmeralda, Victory Heights, Dubai Sports City, Dubai",5,4,"4,801 sqft"
VERIFIED,SUPERAGENT,Villa,"11,200,000 AED","District One West Phase I, District One, Mohammed Bin Rashid City, Dubai",4,5,"6,780 sqft"
N/A,SUPERAGENT,Villa,"2,200,000 AED","Al Bahia Hills, Al Bahia, Ajman",5,7+,"3,100 sqft"
N/A,SUPERAGENT,Villa,"1,650,000 AED","Al Aamra Gardens, Al Amerah, Ajman",5,7+,"3,014 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,649,999 AED","Summer, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",1,1,665 sqft
VERIFIED,SUPERAGENT,Villa,"55,000,000 AED","Hillside at Jumeirah Golf Estates, Jumeirah Golf Estates, Dubai",6,6,"18,000 sqft"
VERIFIED,SUPERAGENT,Villa,"5,600,000 AED","Springs 1, The Springs, Dubai",3,3,"3,854 sqft"
VERIFIED,SUPERAGENT,Villa,"7,300,000 AED","Springs 1, The Springs, Dubai",3,4,"3,697 sqft"
VERIFIED,SUPERAGENT,Apartment,"2,400,000 AED","Zanzebeel 2, Zanzebeel, Old Town, Dubai",2,1,951 sqft
VERIFIED,SUPERAGENT,Apartment,"3,400,000 AED","Jumeirah Gate Tower 2, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",1,2,809 sqft
VERIFIED,SUPERAGENT,Apartment,"1,150,000 AED","Victoria Residency, Al Furjan, Dubai",1,2,950 sqft
VERIFIED,SUPERAGENT,Townhouse,"1,259,999 AED","Aknan Villas, Vardon, Damac Hills 2, Dubai",3,3,"1,696 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,820,000 AED","Upper House West, Upper House, Jumeirah Lake Towers, Dubai",1,2,931 sqft
VERIFIED,SUPERAGENT,Apartment,"2,820,000 AED","Upper House East, Upper House, Jumeirah Lake Towers, Dubai",2,3,"1,289 sqft"
N/A,SUPERAGENT,Land,"605,000 AED","Al Helio 2, Al Helio, Ajman",N/A,N/A,"3,100 sqft"
N/A,N/A,Land,"3,249,928 AED","Jebel Ali Hills, Jebel Ali, Dubai",N/A,N/A,"9,999 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,600,000 AED","Elan, Tilal Al Ghaf, Dubai",3,4,"2,152 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,750,000 AED","Marina Heights, Dubai Marina, Dubai",3,3,"2,282 sqft"
N/A,SUPERAGENT,Apartment,"500,000 AED","Binghatti Elite, Dubai Production City (IMPZ), Dubai",studio,1,376 sqft
VERIFIED,SUPERAGENT,Apartment,"4,350,000 AED","Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai",2,2,"1,170 sqft"
VERIFIED,SUPERAGENT,Apartment,"850,000 AED","Kaya, Town Square, Dubai",1,1,823 sqft
VERIFIED,SUPERAGENT,Apartment,"1,850,000 AED","Expo City Mangrove Residences, Expo City, Dubai",1,1,970 sqft
VERIFIED,SUPERAGENT,Apartment,"5,150,000 AED","Ashjar, Al Barari, Dubai",2,3,"3,214 sqft"
VERIFIED,SUPERAGENT,Apartment,"890,000 AED","The Wings, Arjan, Dubai",1,2,775 sqft
VERIFIED,SUPERAGENT,Villa,"6,000,000 AED","Aura, Tilal Al Ghaf, Dubai",4,5,"3,411 sqft"
VERIFIED,SUPERAGENT,Villa,"6,000,000 AED","Springs 9, The Springs, Dubai",3,3,"3,200 sqft"
VERIFIED,SUPERAGENT,Villa,"6,650,000 AED","Azalea, Arabian Ranches 2, Dubai",4,5,"4,330 sqft"
VERIFIED,SUPERAGENT,Villa,"3,800,000 AED","Bliss, Arabian Ranches 3, Dubai",3,4,"2,202 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,200,000 AED","Greenview 3, EMAAR South, Dubai South (Dubai World Central), Dubai",4,4,"2,484 sqft"
N/A,SUPERAGENT,Villa,"3,500,000 AED","Mangrove Village, Abu Dhabi Gate City, Abu Dhabi",4,5,"3,200 sqft"
VERIFIED,SUPERAGENT,Villa,"3,200,000 AED","Springs 14, The Springs, Dubai",2,2,"1,851 sqft"
VERIFIED,SUPERAGENT,Townhouse,"9,800,000 AED","District One Phase III, District One, Mohammed Bin Rashid City, Dubai",4,5,"3,635 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,420,000 AED","Concorde Tower, JLT Cluster H, Jumeirah Lake Towers, Dubai",1,2,932 sqft
VERIFIED,SUPERAGENT,Apartment,"3,200,000 AED","Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",1,2,856 sqft
VERIFIED,SUPERAGENT,Apartment,"4,750,000 AED","Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2,3,"1,154 sqft"
VERIFIED,SUPERAGENT,Apartment,"10,500,000 AED","Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",3,4,"1,938 sqft"
VERIFIED,SUPERAGENT,Apartment,"25,000,000 AED","Apartment Building 1, Bluewaters Residences, Bluewaters, Dubai",4,5,"2,562 sqft"
VERIFIED,SUPERAGENT,Apartment,"4,900,000 AED","Canal Front Residence 1, Canal Front Residences, Al Wasl, Dubai",2,3,"1,340 sqft"
VERIFIED,SUPERAGENT,Apartment,"5,600,000 AED","Castleton, Central Park at City Walk, City Walk, Dubai",3,4,"2,256 sqft"
VERIFIED,SUPERAGENT,Villa,"7,750,000 AED","Legacy Nova Villas, Jumeirah Park, Dubai",4,5,"5,489 sqft"
VERIFIED,SUPERAGENT,Townhouse,"3,540,000 AED","Elan, Tilal Al Ghaf, Dubai",3,3,"2,142 sqft"
N/A,SUPERAGENT,Land,"40,000,000 AED","Pearl Jumeirah, Jumeirah, Dubai",N/A,N/A,"14,445 sqft"
N/A,SUPERAGENT,Apartment,"630,000 AED","Royal Breeze 4, Royal Breeze, Al Hamra Village, Ras Al Khaimah",studio,1,450 sqft
VERIFIED,SUPERAGENT,Penthouse,"8,450,000 AED","Creek Rise Tower 1, Creek Rise, Dubai Creek Harbour (The Lagoons), Dubai",4,5,"2,987 sqft"
VERIFIED,SUPERAGENT,Apartment,"13,450,000 AED","The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai",3,4,"2,182 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,000,000 AED","Skycourts Tower A, Skycourts Towers, Dubai Land, Dubai",2,2,"1,286 sqft"
VERIFIED,SUPERAGENT,Townhouse,"2,650,000 AED","Nara, The Valley, Dubai",3,3,"2,087 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,370,500 AED","Viewz 2 by Danube, Viewz by DANUBE, Jumeirah Lake Towers, Dubai",1,2,737 sqft
VERIFIED,SUPERAGENT,Apartment,"4,400,000 AED","No.9, Dubai Marina, Dubai",3,4,"1,805 sqft"
VERIFIED,SUPERAGENT,Apartment,"975,000 AED","Bloom Heights B, Bloom Heights, Jumeirah Village Circle, Dubai",1,2,744 sqft
VERIFIED,SUPERAGENT,Apartment,"1,650,000 AED","Bayz by Danube, Business Bay, Dubai",2,2,"1,124 sqft"
N/A,SUPERAGENT,Land,"9,700,000 AED","Al Khawaneej 2, Al Khawaneej, Dubai",N/A,N/A,"36,000 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,100,000 AED","Sobha Creek Vistas Tower A, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,1,490 sqft
VERIFIED,SUPERAGENT,Apartment,"1,005,000 AED","Sobha Creek Vistas Reserve, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,1,487 sqft
VERIFIED,SUPERAGENT,Apartment,"2,200,000 AED","Address Residences Zabeel, Zabeel 1, Zabeel, Dubai",1,1,773 sqft
VERIFIED,SUPERAGENT,Townhouse,"4,500,000 AED","West Village, Al Furjan, Dubai",4,4,"2,489 sqft"
VERIFIED,SUPERAGENT,Villa,"7,650,000 AED","Legacy, Jumeirah Park, Dubai",3,4,"3,063 sqft"
VERIFIED,SUPERAGENT,Apartment,"23,000,000 AED","Atlantis The Royal Residences, Palm Jumeirah, Dubai",2,3,"2,055 sqft"
VERIFIED,SUPERAGENT,Villa,"6,400,000 AED","Casa, Arabian Ranches 2, Dubai",4,4,"3,609 sqft"
N/A,SUPERAGENT,Apartment,"2,910,000 AED","Expo City Sidr Residences, Expo City, Dubai",2,3,"1,425 sqft"
N/A,SUPERAGENT,Apartment,"8,677,000 AED","Six Senses Residences, Dubai Marina, Dubai",4,5,"3,318 sqft"
VERIFIED,SUPERAGENT,Villa,"7,999,999 AED","Ponderosa, The Villa, Dubai Land, Dubai",5,5,"9,751 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,650,000 AED","Port de La Mer, La Mer, Jumeirah, Dubai",2,2,"1,087 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,450,000 AED","Verve City Walk, City Walk, Dubai",2,2,"1,188 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,500,000 AED","Fern, Central Park at City Walk, City Walk, Dubai",2,2,"1,352 sqft"
VERIFIED,SUPERAGENT,Villa,"8,700,000 AED","Meadows 1, Meadows, Dubai",4,3,"4,018 sqft"
VERIFIED,SUPERAGENT,Apartment,"12,500,000 AED","Opera Grand, Burj Khalifa Area, Downtown Dubai, Dubai",3,5,"2,553 sqft"
VERIFIED,SUPERAGENT,Villa,"20,500,000 AED","Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",5,6,"6,000 sqft"
VERIFIED,SUPERAGENT,Villa,"16,500,000 AED","Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",4,5,"5,285 sqft"
VERIFIED,SUPERAGENT,Villa,"21,000,000 AED","Frond M, Garden Homes, Palm Jebel Ali, Dubai",5,6,"7,379 sqft"
VERIFIED,SUPERAGENT,Apartment,"1,225,000 AED","Oxford Terraces, District 11, Jumeirah Village Circle, Dubai",1,2,671 sqft
VERIFIED,SUPERAGENT,Villa,"6,399,000 AED","Opal Gardens, District 11, Mohammed Bin Rashid City, Dubai",4,5,"5,493 sqft"
VERIFIED,SUPERAGENT,Apartment,"7,500,000 AED","Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",3,4,"2,096 sqft"
N/A,SUPERAGENT,Apartment,"550,000 AED","Samana Hills, Arjan, Dubai",studio,1,359 sqft
VERIFIED,SUPERAGENT,Apartment,"5,400,000 AED","Central Park Plaza, Central Park at City Walk, City Walk, Dubai",2,3,"1,283 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,500,000 AED","The Fairways East, The Fairways, The Views, Dubai",2,1,"1,471 sqft"
VERIFIED,SUPERAGENT,Apartment,"3,950,000 AED","The Fairways East, The Fairways, The Views, Dubai",2,2,"1,377 sqft"
